,Prompt,Intimacy Level,Coding Manual Average,Pei & Jurgens,Coding Min Max Normalized,P&J Min Max Normalized,Square Product,Selected ,Arnav Scrpt score,Bwaj Script score ,<-- for each variable create column,B,W,BW,Rank,meanB,meanW,meanBW,mean_stdBW,sqrtBW,std_sqrtBW
0,How do profoundly painful experiences alter one's worldview and relationships?,High,7.666666667,0.5016202331,0.926,1.0,0.9622889379,0.9622889379,,,,2,50,-48,39,0.333333333333333,8.33333333333333,-8.0,-0.666666666666667,0.2,0.0304997140665209
1,How has work life impacted personal relationships?,High,7.238541667,0.3998060524,0.769,0.882,0.8235642051,0.8235642051,,,,0,40,-40,37,0.0,6.66666666666667,-6.66666666666667,-0.555555555555556,0.0,0.0
2,What memory from a past relationship provides comfort or clarity?,High,7.008888889,0.4741196632,0.684,0.968,0.8137026484,0.8137026484,,,,1,37,-36,36,0.166666666666667,6.16666666666667,-6.0,-0.5,0.164398987305357,0.025070610528195
3,What's a potentially relationship-threatening truth about that is hesitant to reveal?,High,7.254700855,0.4974456728,0.775,0.995,0.878137233,0.878137233,,,,1,49,-48,39,0.166666666666667,8.16666666666667,-8.0,-0.666666666666667,0.142857142857143,0.021785510047515
4,How can overwhelming fears impact decision-making and relationships?,High,7.108333333,0.388112694,0.721,0.869,0.7915484824,0.7915484824,,,,1,46,-45,38,0.166666666666667,7.66666666666667,-7.5,-0.625,0.147441956154897,0.0224846875206644
5,What's something to be afraid to admit?,High,7.123931624,0.3902547657,0.727,0.871,0.7957493324,0.7957493324,,,,3,37,-34,35,0.5,6.16666666666667,-5.66666666666667,-0.472222222222222,0.28474739872575,0.043423571211605
6,What's a recurring pattern in relationships that people struggle to break?,High,7.32,0.4653844237,0.799,0.958,0.8748954223,0.8748954223,,,,4,34,-30,32,0.666666666666667,5.66666666666667,-5.0,-0.416666666666667,0.342997170285018,0.0523065780965942
7,What's a past experience that has profoundly shaped ability to trust?,High,7.341666667,0.2730522156,0.807,0.736,0.7706828141,0.7706828141,,,,7,34,-27,31,1.16666666666667,5.66666666666667,-4.5,-0.375,0.453742606486515,0.0691950987881832
8,What impact does emotional intimacy have on physical intimacy in relationships?,High,7.644444444,0.4682979286,0.918,0.962,0.9397425179,0.9397425179,,,,0,30,-30,32,0.0,5.0,-5.0,-0.416666666666667,0.0,0.0
9,"What's a deepest existential fear, and how does it affect daily life?",High,7.196078431,0.3973948956,0.753,0.88,0.8140270266,0.8140270266,,,,5,25,-20,29,0.833333333333333,4.16666666666667,-3.33333333333333,-0.277777777777778,0.447213595499958,0.0681994339470473
10,What are some recent new experiences?,Mild,5.876650564,0.1338586211,0.268,0.575,0.3925557285,0.3925557285,,,,6,36,-30,32,1.0,6.0,-5.0,-0.416666666666667,0.408248290463863,0.062257280636469
11,What are some academic goals?,Mild,6.311949686,-0.138058871,0.428,0.261,0.3342274675,0.3342274675,,,,7,27,-20,29,1.16666666666667,4.5,-3.33333333333333,-0.277777777777778,0.509175077217316,0.0776484713246342
12,What's a local event that is interesting to attend?,Mild,5.789147287,0.008815124631,0.236,0.431,0.3189294593,0.3189294593,,,,9,28,-19,28,1.5,4.66666666666667,-3.16666666666667,-0.263888888888889,0.566946709513841,0.0864585626556352
13,What's a way to celebrate achievements?,Mild,6.158139535,-0.06467615813,0.371,0.346,0.3582820118,0.3582820118,,,,9,25,-16,25,1.5,4.16666666666667,-2.66666666666667,-0.222222222222222,0.6,0.0914991421995628
14,How do people usually spend their free time?,Mild,5.751987768,0.06817190349,0.222,0.499,0.3328332916,0.3328332916,,,,8,25,-17,26,1.33333333333333,4.16666666666667,-2.83333333333333,-0.236111111111111,0.565685424949238,0.0862662185627507
15,What's a professional value that's important?,Mild,6.293995859,-0.1252575219,0.421,0.276,0.3408753438,0.3408753438,,,,12,17,-5,22,2.0,2.83333333333333,-0.833333333333333,-0.0694444444444444,0.840168050416806,0.128124426527695
16,What's a biggest health challenge?,Mild,5.7,0.08584947884,0.203,0.52,0.3248999846,0.3248999846,,,,6,23,-17,26,1.0,3.83333333333333,-2.83333333333333,-0.236111111111111,0.510753918455249,0.0778892423562012
17,What is the opinion on the latest trend in fashion?,Mild,5.947208122,-0.03753194585,0.294,0.377,0.3329234146,0.3329234146,,,,15,22,-7,23,2.5,3.66666666666667,-1.16666666666667,-0.0972222222222222,0.82572282384477,0.125921550127329
18,What's a favorite way to stay connected with friends?,Mild,5.813771518,0.2202952951,0.245,0.675,0.4066632514,0.4066632514,,,,15,9,6,19,2.5,1.5,1.0,0.0833333333333333,1.29099444873581,0.196874807739539
19,What was the inspiration for starting this hobby?,Mild,5.914759536,-0.01580923609,0.282,0.402,0.3366957083,0.3366957083,,,,15,15,0,21,2.5,2.5,0.0,0.0,1.0,0.152498570332605
20,What's a fundamental insecurity about professional abilities that may be struggled to overcome?,Moderate,7.058666667,0.1174606979,0.703,0.556,0.6251943698,0.6251943698,,,,11,18,-7,23,1.83333333333333,3.0,-1.16666666666667,-0.0972222222222222,0.781735959970572,0.119213616273098
21,"How do spiritual beliefs or practices provide comfort and peace, particularly during challenging times?",Moderate,6.885217391,0.07029610127,0.639,0.502,0.5663726688,0.5663726688,,,,18,13,5,20,3.0,2.16666666666667,0.833333333333333,0.0694444444444444,1.1766968108291,0.179444581366374
22,What's something kept hidden from professors or peers for academic reasons?,Moderate,7.274576271,-0.02143610269,0.782,0.396,0.5564818056,0.5564818056,,,,21,7,14,17,3.5,1.16666666666667,2.33333333333333,0.194444444444444,1.73205080756888,0.264135271897687
23,What are some insecurities about academic abilities or potential?,Moderate,7.3,0.03738621622,0.792,0.464,0.6062078851,0.6062078851,,,,17,4,13,18,2.83333333333333,0.666666666666667,2.16666666666667,0.180555555555556,2.06155281280883,0.314383856618506
24,What are some insecurities about professional skills or abilities?,Moderate,7.217171717,0.07576487213,0.761,0.508,0.6217620123,0.6217620123,,,,24,8,16,14,4.0,1.33333333333333,2.66666666666667,0.222222222222222,1.73205080756888,0.264135271897687
25,How can unprocessed traumatic events continue to affect individuals?,Moderate,6.985858586,0.0981400907,0.676,0.534,0.6008194404,0.6008194404,,,,22,7,15,16,3.66666666666667,1.16666666666667,2.5,0.208333333333333,1.77281052085584,0.270351069901115
26,What emotions are difficult to express openly?,Moderate,6.798924731,0.1705387682,0.607,0.618,0.6124753056,0.6124753056,,,,24,8,16,14,4.0,1.33333333333333,2.66666666666667,0.222222222222222,1.73205080756888,0.264135271897687
27,What are some biggest academic anxieties and how do they affect self-esteem?,Moderate,7.253968254,0.003195401281,0.775,0.424,0.5732364259,0.5732364259,,,,28,6,22,13,4.66666666666667,1.0,3.66666666666667,0.305555555555556,2.16024689946929,0.329434563734508
28,"If you were to frame your ""objectives"" based on your purpose, what's currently being pursued?",Moderate,6.786243386,0.1370113194,0.603,0.579,0.59087816,0.59087816,,,,28,5,23,11,4.66666666666667,0.833333333333333,3.83333333333333,0.319444444444444,2.36643191323985,0.360877483558527
29,What are the biggest health-related vulnerabilities?,Moderate,7.33081761,-0.05502577871,0.803,0.357,0.5354166602,0.5354166602,,,,27,3,24,10,4.5,0.5,4.0,0.333333333333333,3.0,0.457495710997814
30,How's the weather affecting the general mood today?,Neutral,5.1678487,-0.32521981,0.007,0.045,0.01774823935,0.01774823935,,,,26,3,23,11,4.33333333333333,0.5,3.83333333333333,0.319444444444444,2.94392028877595,0.448943635211481
31,What's the best game to play?,Neutral,5.453917663,-0.09836961329,0.112,0.307,0.1854292318,0.1854292318,,,,42,2,40,3,7.0,0.333333333333333,6.66666666666667,0.555555555555556,4.58257569495584,0.698836241921708
32,What's the general atmosphere of the day so far?,Neutral,5.263222632,-0.132355392,0.042,0.268,0.1060942977,0.1060942977,,,,33,7,26,9,5.5,1.16666666666667,4.33333333333333,0.361111111111111,2.17124059336724,0.33111108633662
33,What's a subject to study?,Neutral,5.502040816,-0.2589640915,0.13,0.121,0.1254192968,0.1254192968,,,,32,2,30,8,5.33333333333333,0.333333333333333,5.0,0.416666666666667,4.0,0.609994281330419
34,The upcoming elections are generating a lot of discussion. What are some key points being raised?,Neutral,5.237712895,-0.1670840383,0.033,0.228,0.08674099377,0.08674099377,,,,35,1,34,6,5.83333333333333,0.166666666666667,5.66666666666667,0.472222222222222,5.91607978309962,0.902193708896317
35,What's the weather like?,Neutral,5.350890585,-0.2627541125,0.075,0.117,0.09367496998,0.09367496998,,,,43,1,42,1,7.16666666666667,0.166666666666667,7.0,0.583333333333333,6.557438524302,1.0
36,How's the overall flow of the week been?,Neutral,5.291293532,-0.03792985901,0.053,0.377,0.1413541651,0.1413541651,,,,38,2,36,4,6.33333333333333,0.333333333333333,6.0,0.5,4.35889894354067,0.664725857114254
37,The recent cold spell—has it led to any noticeable changes in routines?,Neutral,5.210589651,-0.2116166651,0.023,0.176,0.06362389488,0.06362389488,,,,43,8,35,5,7.16666666666667,1.33333333333333,5.83333333333333,0.486111111111111,2.31840462387393,0.353553390593274
38,Looks like rain is expected later—how does that typically impact daily activities?,Neutral,5.183095238,-0.2998087108,0.013,0.074,0.03101612484,0.03101612484,,,,35,1,34,6,5.83333333333333,0.166666666666667,5.66666666666667,0.472222222222222,5.91607978309962,0.902193708896317
39,Did anyone catch the buzz about the new downtown restaurant? It sounds interesting.,Neutral,5.227636364,-0.1779981554,0.029,0.215,0.07896201618,0.07896201618,,,,47,5,42,1,7.83333333333333,0.833333333333333,7.0,0.583333333333333,3.06594194335118,0.467551763083822
